,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
79,Iran,10.25187,2.037435293,3.29368,2.719276667,8.719461,4.4389414789999995,3.5569010000000003,2.956709146,25.821912,12.752554439
80,Iraq,9.375947,13.29929638,5.409573,10.31259346,8.205505,11.85843277,5.091568,10.62040234,28.082593,40.561890610000006
81,Ireland,1.096784,0.7797486779999999,1.425918,1.304066181,6.802936,5.428429604,0.8019556999999999,0.466416985,10.1275937,8.314200163
82,Israel,0.46689319999999995,0.26543662,0.2460507,0.5109013920000001,1.3795870000000001,1.180207968,0.24146669999999998,1.3598396780000002,2.3339976,2.19801268
83,Italy,0.347624,0.283861607,0.5035728,0.7025884990000001,6.86275,6.824293612999999,0.36935650000000003,0.38574650899999996,8.083303299999999,8.180100219
84,Jamaica,0.89485,1.056504726,1.653257,2.103786469,1.715075,4.079553127,0.45942489999999997,0.259935111,4.722606900000001,7.699269222
85,Japan,0.7657016999999999,0.7047410009999999,2.678272,2.462170601,2.618268,2.524842262,0.3964646,0.5383104089999999,6.458706299999999,6.088218464
86,Jordan,1.816888,5.266461372,1.006203,2.490809441,4.722551,2.22212863,0.7871578,2.176011801,8.3327998,10.766557243
87,Kazakhstan,4.804207,3.734105825,9.682122,9.128953934,3.243732,3.475875616,59.829980000000006,22.16195679,77.56004100000001,76.16891537500001
88,Kenya,4.647214,5.247452259,4.384716,4.949559689,3.963776,4.758968353,4.086071,5.089548111,17.081777000000002,19.042051301
89,Kiribati,3.4602370989583324,3.3308049753437525,5.57167945520833,5.260021238390622,4.849943866145835,4.611214534671876,4.421706545833331,4.171133837369793,18.303566966145826,17.623747294239582
90,Kuwait,1.473193,1.3941758869999998,0.6869304,0.7367865440000001,2.133363,2.048094511,0.5195457,0.584534824,4.813032100000001,4.698602642
91,Kyrgyzstan,1.532384,2.159370184,8.856569,8.717104912,4.44678,4.223422527,17.43917,17.41530228,32.274903,32.539067623
92,Laos,15.88974,14.25634575,10.93498,9.289315224,15.18016,13.66785049,8.758049,8.018582344,50.762929,45.971560464
93,Latvia,7.636864999999999,7.108301162999999,13.6144,8.67931366,13.21245,9.458460808,13.55055,14.07043266,48.014265,38.796625631
94,Lebanon,6.748635,6.106329441000001,3.415046,3.0959010119999997,5.839980000000001,5.451313019,3.5280949999999995,3.239409924,19.531756,18.181638472
95,Lesotho,4.871619,3.0134592060000003,8.700027,5.534087181,4.016922,3.385127544,6.7605580000000005,4.741689682,24.349126000000002,18.693231931
96,Liberia,8.769966,5.195684433,12.457239999999999,5.465460299999999,6.895103999999999,4.254863739,10.932089999999999,6.215863228,39.0544,25.848098472
97,Libya,3.8554230000000005,4.200705528,2.277858,2.479269743,3.422505,3.5515589710000004,2.164599,2.516609907,11.720385,12.396133242000001
98,Lithuania,4.262231,3.519167662,12.481010000000001,8.807596207000001,11.09042,10.39620018,17.27364,17.08634949,45.107301,39.996604049
99,Luxembourg,0.7470686,0.370494664,0.5700158000000001,0.772485912,5.850251999999999,6.1955657010000005,4.691525,3.194434166,11.8588614,12.030071277000001
100,Madagascar,6.188969999999999,4.525608063,7.657578,3.726142645,5.096874,3.516938925,6.716616,4.155482292,25.660038,18.485305633
